id;numero;annee;description;fichier_avis;fichier_avis_content_type;version;last_version_valid;etat;date_publication
1;card Officer neural-net;foreground 24/7 leverage;efficient;../fake-data/blob/hipster.png;image/png;25473;87015;Uzbekistan Sum;2021-09-23T06:52:10
2;Architect Grocery card;digital infrastructures;Rustic Fresh Towels withdrawal virtual;../fake-data/blob/hipster.png;image/png;64388;82866;Rustic Concrete Bacon Summit niches;2021-09-23T01:25:47
3;Macedonia Plastic Personal Loan Account;hard drive Rubber;4th generation Ergonomic Metal Pizza Quality;../fake-data/blob/hipster.png;image/png;66039;72883;superstructure;2021-09-22T22:43:55
4;Functionality Implemented;Table;mint green;../fake-data/blob/hipster.png;image/png;30945;91471;Refined Plastic Computer Frozen architectures;2021-09-23T07:27:21
5;generate function Tasty;Executive evolve;olive payment Auto Loan Account;../fake-data/blob/hipster.png;image/png;29113;63015;Botswana Turkey;2021-09-23T06:27:43
6;rich;Tasty multi-byte;Saint Helena Pound;../fake-data/blob/hipster.png;image/png;42943;92922;Port Bahraini Dinar;2021-09-22T20:41:35
7;User-friendly;Mountains;Minnesota;../fake-data/blob/hipster.png;image/png;41562;9202;Principal Toys;2021-09-22T17:02:57
8;hack;hard drive Product;Re-contextualized;../fake-data/blob/hipster.png;image/png;72617;62059;fresh-thinking bluetooth;2021-09-22T18:06:00
9;Technician;Toys Investor Concrete;Lao People's Democratic Republic;../fake-data/blob/hipster.png;image/png;32932;70965;e-enable deploy pixel;2021-09-22T23:35:03
10;orange Savings Account Borders;models;1080p;../fake-data/blob/hipster.png;image/png;67435;33668;EXE Wisconsin;2021-09-22T20:35:46
