id;libelle;sigle
1;application;Burkina Faso concept
2;Analyst;platforms structure Usability
3;transitional Tonga system;Latvia alarm
4;Chips multi-byte;Buckinghamshire Skyway
5;Specialist hacking;Prairie Rubber purple
6;deposit Philippine Peso navigate;Concrete Cross-platform SDD
7;optical Brand Nuevo Sol;Checking Account infrastructures
8;Group Savings Account Awesome Rubber Keyboard;Fish Principal Gambia
9;Metrics;revolutionary redundant Group
10;vortals;Turkish Lira backing up Gorgeous Rubber Bacon
