id;code;libelle;taux;date_debut;date_fin;invalid;pays_id
1;1080p solid state;white Music;36482;2021-08-13T21:40:41;2021-08-13T13:32:22;false;1
2;Strategist Metal Checking Account;bandwidth-monitored;63501;2021-08-14T10:49:24;2021-08-13T17:39:33;true;2
3;Fish hard drive Pizza;bandwidth transform Ergonomic;10863;2021-08-13T14:20:03;2021-08-14T12:27:31;true;3
4;back up generate;copying Berkshire;48558;2021-08-13T23:59:09;2021-08-13T18:21:08;true;4
5;Cameroon quantify;digital hack Soap;73340;2021-08-13T23:28:16;2021-08-14T07:24:23;true;5
6;Gorgeous compressing;Intuitive;31439;2021-08-14T02:01:48;2021-08-14T10:54:19;false;6
7;convergence Brazil;orchid;15545;2021-08-13T14:24:04;2021-08-14T06:29:57;true;7
8;Uzbekistan Money Market Account;Bacon;20498;2021-08-13T13:17:56;2021-08-14T05:07:21;false;8
9;connect deposit;Chips;24556;2021-08-14T03:31:13;2021-08-14T08:42:15;false;9
10;Mississippi;Greens;26370;2021-08-14T08:26:03;2021-08-14T11:20:18;false;10
