id;libelle;code;unite;valeur;debut_validite;fin_validite;commentaires
1;Taka programming;Granite;Plastic neutral;22130;2021-08-13T17:43:43;2021-08-14T04:18:10;payment Operations Brook
2;Plastic;Up-sized Granite SMTP;Ergonomic multi-byte;5192;2021-08-13T20:35:13;2021-08-14T10:12:51;niches
3;bottom-line Practical Granite Ball web-enabled;Arizona;Investor migration;7819;2021-08-13T18:40:30;2021-08-13T17:18:52;exuding
4;Swedish Krona West Virginia connecting;withdrawal;iterate;14055;2021-08-14T11:32:14;2021-08-14T00:55:32;Ball Branding
5;circuit Usability Indiana;zero tolerance;San Marino e-markets;16075;2021-08-13T14:37:22;2021-08-13T17:00:59;hybrid
6;exploit Auto Loan Account;virtual grey;primary;14995;2021-08-14T06:06:40;2021-08-14T09:09:36;Monitored solid state
7;Route;schemas Cotton SSL;hard drive Dong;69567;2021-08-14T08:39:32;2021-08-14T09:04:52;Moroccan Dirham Car e-services
8;white;workforce extensible lime;supply-chains;67552;2021-08-14T04:13:53;2021-08-13T16:44:00;Utah PCI copying
9;web-readiness indigo;Mobility Assistant ability;TCP overriding;72117;2021-08-14T05:19:27;2021-08-14T10:47:08;Investment Account Sudanese Pound
10;Handcrafted;value-added parse;Clothing applications Canyon;72848;2021-08-14T11:32:31;2021-08-13T22:25:08;blue Generic
