id;sigle;libelle;description
1;parse;compelling;Shirt Phased
2;Fantastic Cambridgeshire;modular Music embrace;a Concrete
3;copy b;Outdoors Berkshire;Extended
4;Producteur Agent;panel Riel Cotton;channels Rubber Producteur
5;Saint-Honoré Concrete index;withdrawal Sports Card;tolerance a
6;grow;users;motivating purple payment
7;c;Poitou-Charentes Sleek;Bénin synergies
8;Bedfordshire a;models structure;Architecte
9;Unbranded olive Cotton;a capacitor SSL;back-end multi-state Keyboard
10;Health;Bac;Alsace dynamic
