id;libelle;type_garantie;description
1;Cheese Product Samoa;withdrawal;Soft
2;purple IB;Liaison bandwidth-monitored leverage;Bike Saint Lucia
3;Customizable;Computers;maximize
4;monitoring Usability Markets;experiences;hacking Representative Dynamic
5;Chief Granite;SAS Robust;alarm ivory
6;Auto Loan Account Digitized;Usability platforms open-source;product viral
7;Cambridgeshire real-time Strategist;empowering system overriding;Licensed Fresh Salad Investment Account
8;Refined Integration black;invoice;Strategist
9;digital Branding;Niue Jordanian Dinar;Home
10;blue;Implementation;white generating
