id;libelle;description
1;Grocery user-centric;unleash
2;Pataca sexy;Checking Account
3;viral payment empower;Unbranded Fresh Keyboard card Dynamic
4;SAS Falkland Islands (Malvinas) Fords;Tasty Rubber Pizza Table Tasty Cotton Salad
5;Slovakia (Slovak Republic);Centers Home Loan Account
6;Chad circuit connecting;Fantastic Concrete Pants Borders
7;Rubber;eyeballs deliverables Port
8;Cambridgeshire Steel SQL;Avon Trinidad and Tobago Configurable
9;Cayman Islands Dollar;copy Arkansas transition
10;hacking;Berkshire
