id;code;libelle;description;localisation;type
1;Administrateur;Account;applications;LOCALES;20667
2;user-centric;Jewelery;Practical turquoise Realigned;LOCALES;64638
3;Granite;b orchestrate;Avon;LESDEUX;50514
4;Automotive;Practical Front-line;Steel;ETRANGERES;25773
5;invoice Saint-Séverin;next Shoes programming;Soft Cambridgeshire reciprocal;LESDEUX;78554
6;Bolivie;transmitter Administrateur;compressing Cambridgeshire;LOCALES;40630
7;yellow;Turkménistan impactful Metal;primary applications Alsace;LESDEUX;8521
8;Handmade;Checking Rustic Metal;Garden Rustic;ETRANGERES;87617
9;Borders indexing;invoice;IB Norvège d'Abbeville;LESDEUX;80106
10;Incredible;index;synergies;LOCALES;21268
