id;code;libelle;corbeille
1;Wooden Buckinghamshire Malawi;parse;Auto Loan Account
2;deposit;microchip SDD Gorgeous Concrete Tuna;Gorgeous neural
3;Pines Checking Account;Unbranded Metal Keyboard hierarchy Cocos (Keeling) Islands;generate Cotton
4;markets Producer back-end;Kids Unbranded Concrete Shirt;blue
5;California;invoice Handmade deposit;digital synthesizing
6;radical Buckinghamshire Isle;Bacon quantify;Auto Loan Account
7;engage deposit;Technician Cambridgeshire;database
8;Colombia;optimal;Consultant Dynamic
9;Branding archive deposit;Buckinghamshire;compress deposit
10;Plastic;Money Market Account;hacking Hawaii Cambridgeshire
