id;libelle;code;description;ordre;chapitre
1;Poitou-Charentes Île-de-France array;d'Azur;best-of-breed drive;48921;interactiv
2;e-business;deliverabl;connecting needs-based Avon;60670;Consultant
3;Gold;USB Bedfor;Team-oriented XSS Biélorussie;75485;Molière cu
4;Borders Computers contingency;system;Turquie Hat;14687;productize
5;networks Auto hybrid;Computer M;Market Burkina;72452;enhance pr
6;Fish indexing invoice;b open-sou;Ball withdrawal;28199;Fresh
7;Managed 3rd system;Streamline;Computers payment;60046;Specialist
8;Extended input b;initiative;bypassing SQL;88926;Metal Ergo
9;transform incentivize 1080p;Dominican;Kyat;68547;leverage
10;quantifying;program;Down-sized Taka;45112;Chips b
